countries,infected,deaths,recovered,active,death_rate,recovery_rate
United States,161454,2989,5254,153211,1.9,3.3
Italy,101739,11591,14620,75528,11.4,14.4
Spain,87956,7716,16780,63460,8.8,19.1
China,82197,3308,75922,2967,4.0,92.4
Germany,66885,645,13500,52740,1.0,20.2
France,44550,3024,7927,33599,6.8,17.8
Iran,41495,2757,13911,24827,6.6,33.5
United Kingdom,22422,1410,171,20841,6.3,0.8
Switzerland,15922,359,1823,13740,2.3,11.4
Belgium,11899,513,1527,9859,4.3,12.8
Netherlands,11800,864,251,10685,7.3,2.1
Turkey,10827,168,162,10497,1.6,1.5
South Korea,9661,158,5228,4275,1.6,54.1
Austria,9618,108,636,8874,1.1,6.6
Canada,7427,86,1093,6248,1.2,14.7
Portugal,6408,140,43,6225,2.2,0.7
Israel,4695,16,161,4518,0.3,3.4
Brazil,4579,159,120,4300,3.5,2.6
Norway,4445,32,12,4401,0.7,0.3
Australia,4361,18,257,4086,0.4,5.9
Sweden,4028,146,16,3866,3.6,0.4
Czechia,3001,23,25,2953,0.8,0.8
Ireland,2910,54,5,2851,1.9,0.2
Denmark,2745,77,71,2597,2.8,2.6
Malaysia,2626,37,479,2110,1.4,18.2
Chile,2449,8,156,2285,0.3,6.4
Romania,2109,65,209,1835,3.1,9.9
Poland,2055,31,7,2017,1.5,0.3
Luxembourg,1988,22,40,1926,1.1,2.0
Ecuador,1962,60,3,1899,3.1,0.2
Japan,1866,54,424,1388,2.9,22.7
Russia,1836,9,66,1761,0.5,3.6
Pakistan,1717,21,76,1620,1.2,4.4
Philippines,1546,78,42,1426,5.0,2.7
Thailand,1524,9,229,1286,0.6,15.0
Saudi Arabia,1453,8,115,1330,0.6,7.9
Indonesia,1414,122,75,1217,8.6,5.3
Finland,1352,13,10,1329,1.0,0.7
South Africa,1326,3,31,1292,0.2,2.3
India,1251,32,102,1117,2.6,8.2
Greece,1212,43,52,1117,3.5,4.3
Iceland,1086,2,157,927,0.2,14.5
Mexico,993,20,35,938,2.0,3.5
Panama,989,24,4,961,2.4,0.4
Peru,950,24,53,873,2.5,5.6
Dominican Republic,901,42,4,855,4.7,0.4
Singapore,879,3,228,648,0.3,25.9
Argentina,820,23,228,569,2.8,27.8
Colombia,798,12,15,771,1.5,1.9
Croatia,790,6,67,717,0.8,8.5
Serbia,785,16,42,727,2.0,5.4
Slovenia,756,11,10,735,1.5,1.3
Estonia,715,3,20,692,0.4,2.8
Cruise Ship,712,10,603,99,1.4,84.7
Qatar,693,1,51,641,0.1,7.4
