countries,infected,deaths,recovered,active,death_rate,recovery_rate
United States,135510,2384,4378,128748,1.8,3.2
Italy,97689,10779,13030,73880,11.0,13.3
China,82121,3304,75581,3236,4.0,92.0
Spain,78799,6606,14709,57484,8.4,18.7
Germany,60659,482,9211,50966,0.8,15.2
France,40174,2606,7202,30366,6.5,17.9
Iran,38309,2640,12391,23278,6.9,32.3
United Kingdom,19751,1230,151,18370,6.2,0.8
Switzerland,14829,300,1595,12934,2.0,10.8
Netherlands,10912,771,251,9890,7.1,2.3
Belgium,10836,431,1359,9046,4.0,12.5
South Korea,9583,152,5033,4398,1.6,52.5
Turkey,9217,131,105,8981,1.4,1.1
Austria,8711,86,479,8146,1.0,5.5
Canada,6243,63,508,5672,1.0,8.1
Portugal,5962,119,43,5800,2.0,0.7
Norway,4245,25,7,4213,0.6,0.2
Brazil,4065,118,6,3941,2.9,0.1
Australia,3980,16,244,3720,0.4,6.1
Israel,3865,15,89,3761,0.4,2.3
Sweden,3700,110,16,3574,3.0,0.4
Czechia,2743,16,11,2716,0.6,0.4
Ireland,2615,46,5,2564,1.8,0.2
Denmark,2554,72,71,2411,2.8,2.8
Malaysia,2470,35,388,2047,1.4,15.7
Chile,2139,7,75,2057,0.3,3.5
Luxembourg,1950,21,40,1889,1.1,2.1
Ecuador,1890,57,3,1830,3.0,0.2
Japan,1866,54,424,1388,2.9,22.7
Poland,1771,20,7,1744,1.1,0.4
Romania,1760,42,169,1549,2.4,9.6
Russia,1534,8,64,1462,0.5,4.2
Pakistan,1526,14,29,1483,0.9,1.9
Philippines,1418,71,42,1305,5.0,3.0
Thailand,1388,7,97,1284,0.5,7.0
Saudi Arabia,1299,8,66,1225,0.6,5.1
Indonesia,1285,114,64,1107,8.9,5.0
Finland,1240,11,10,1219,0.9,0.8
South Africa,1187,1,31,1155,0.1,2.6
Greece,1156,38,52,1066,3.3,4.5
India,1024,27,95,902,2.6,9.3
Iceland,1020,2,114,904,0.2,11.2
Panama,901,17,4,880,1.9,0.4
Dominican Republic,859,39,3,817,4.5,0.3
Peru,852,18,16,818,2.1,1.9
Mexico,848,16,4,828,1.9,0.5
Singapore,844,3,212,629,0.4,25.1
Argentina,745,19,72,654,2.6,9.7
Serbia,741,13,42,686,1.8,5.7
Slovenia,730,11,10,709,1.5,1.4
Croatia,713,6,52,655,0.8,7.3
Cruise Ship,712,10,597,105,1.4,83.8
Estonia,679,3,20,656,0.4,2.9
Hong Kong,641,4,118,519,0.6,18.4
Qatar,634,1,48,585,0.2,7.6
Colombia,608,6,10,592,1.0,1.6
Egypt,576,36,121,419,6.2,21.0
United Arab Emirates,570,3,58,509,0.5,10.2
Iraq,547,42,143,362,7.7,26.1
New Zealand,514,1,56,457,0.2,10.9
Algeria,511,31,31,449,6.1,6.1
Bahrain,499,4,272,223,0.8,54.5
Morocco,463,26,13,424,5.6,2.8
Lebanon,438,10,30,398,2.3,6.8
Lithuania,437,7,1,429,1.6,0.2
Armenia,424,3,30,391,0.7,7.1
Ukraine,418,9,5,404,2.2,1.2
Hungary,408,13,34,361,3.2,8.3
Latvia,347,0,1,346,0.0,0.3
Bulgaria,346,8,14,324,2.3,4.0
Andorra,334,6,1,327,1.8,0.3
Bosnia and Herzegovina,323,6,8,309,1.9,2.5
Slovakia,314,0,2,312,0.0,0.6
Uruguay,304,1,0,303,0.3,0.0
Taiwan,298,2,39,257,0.7,13.1
Costa Rica,295,2,3,290,0.7,1.0
Tunisia,278,8,2,268,2.9,0.7
Moldova,263,2,2,259,0.8,0.8
Jordan,259,2,18,239,0.8,6.9
North Macedonia,259,6,3,250,2.3,1.2
Kuwait,255,0,67,188,0.0,26.3
Kazakhstan,251,1,18,232,0.4,7.2
San Marino,224,22,6,196,9.8,2.7
Burkina Faso,222,12,23,187,5.4,10.4
Cyprus,214,5,15,194,2.3,7.0
Albania,212,10,33,169,4.7,15.6
Azerbaijan,209,4,15,190,1.9,7.2
Vietnam,188,0,25,163,0.0,13.3
Réunion,183,0,1,182,0.0,0.5
Oman,167,0,23,144,0.0,13.8
Faroe Islands,159,0,70,89,0.0,44.0
Ghana,152,5,2,145,3.3,1.3
Malta,151,0,2,149,0.0,1.3
Uzbekistan,144,2,7,135,1.4,4.9
Senegal,142,0,27,115,0.0,19.0
Ivory Coast,140,0,3,137,0.0,2.1
Cuba,139,3,4,132,2.2,2.9
Brunei,126,1,34,91,0.8,27.0
Afghanistan,120,4,2,114,3.3,1.7
Venezuela,119,2,39,78,1.7,32.8
Sri Lanka,117,1,11,105,0.9,9.4
Honduras,110,2,3,105,1.8,2.7
West Bank and Gaza,108,1,18,89,0.9,16.7
Palestine,108,1,18,89,0.9,16.7
Mauritius,107,2,0,105,1.9,0.0
Cambodia,103,0,21,82,0.0,20.4
Guadeloupe,102,2,17,83,2.0,16.7
Channel Islands,100,2,0,98,2.0,0.0
Nigeria,97,1,3,93,1.0,3.1
Belarus,94,0,32,62,0.0,34.0
Martinique,93,1,0,92,1.1,0.0
Georgia,91,0,18,73,0.0,19.8
Cameroon,91,2,2,87,2.2,2.2
Kosovo,91,1,1,89,1.1,1.1
Montenegro,85,1,0,84,1.2,0.0
Kyrgyzstan,84,0,0,84,0.0,0.0
Bolivia,81,1,0,80,1.2,0.0
Trinidad and Tobago,76,3,1,72,3.9,1.3
Congo (Kinshasa),65,6,2,57,9.2,3.1
Gibraltar,65,0,14,51,0.0,21.5
Mayotte,63,0,0,63,0.0,0.0
Rwanda,60,0,0,60,0.0,0.0
Liechtenstein,56,0,0,56,0.0,0.0
Paraguay,56,3,1,52,5.4,1.8
Bangladesh,48,5,15,28,10.4,31.2
Aruba,46,0,1,45,0.0,2.2
Monaco,43,1,1,41,2.3,2.3
Isle of Man,42,0,0,42,0.0,0.0
Kenya,42,1,1,40,2.4,2.4
Madagascar,39,0,0,39,0.0,0.0
Macau,37,0,10,27,0.0,27.0
Guatemala,34,1,10,23,2.9,29.4
Jamaica,32,1,2,29,3.1,6.2
Uganda,30,0,0,30,0.0,0.0
Zambia,29,0,0,29,0.0,0.0
French Guiana,28,0,6,22,0.0,21.4
Barbados,26,0,0,26,0.0,0.0
Togo,25,1,1,23,4.0,4.0
El Salvador,24,0,0,24,0.0,0.0
Bermuda,22,0,2,20,0.0,9.1
