Country,in the past 28 red,in the past 28 white,totals red,totals white,rate
Mali,372,4,30907,733,"152.62 per 100,000 "
Cambodia,371,1,136262,3056,"815.01 per 100,000 "
Nepal,358,1,978914,11952,"3,359.72 per 100,000 "
Bahamas,332,9,33672,798,"8,562.54 per 100,000 "
Kenya,322,1,323846,5649,"602.27 per 100,000 "
Belize,294,16,57612,676,"14,489.17 per 100,000 "
Congo (Kinshasa),275,0,87023,1337,"97.17 per 100,000 "
Lesotho,241,0,33151,697,"1,547.48 per 100,000 "
Armenia,234,3,422877,8622,"14,270.79 per 100,000 "
Guyana,223,2,63533,1228,"8,077.33 per 100,000 "
Fiji,207,28,64699,862,"7,217.29 per 100,000 "
Nigeria,191,1,255766,3143,"124.07 per 100,000 "
Libya,178,11,501916,6430,"7,304.54 per 100,000 "
Ghana,174,0,161222,1445,"518.85 per 100,000 "
Cote d'Ivoire,167,3,81970,799,"310.75 per 100,000 "
South Sudan,159,0,17492,138,"156.27 per 100,000 "
Antigua and Barbuda,152,2,7663,137,"7,825.14 per 100,000 "
Suriname,152,3,79393,1328,"13,533.65 per 100,000 "
Sudan,148,26,62135,4933,"141.70 per 100,000 "
Uganda,146,2,164118,3598,"358.80 per 100,000 "
Niger,135,1,8957,309,"37.00 per 100,000 "
Mozambique,132,1,225409,2201,"721.18 per 100,000 "
Madagascar,131,3,64181,1391,"231.78 per 100,000 "
Haiti,125,1,30703,835,"269.26 per 100,000 "
Syria,107,4,55842,3150,"319.09 per 100,000 "
Malawi,106,6,85800,2634,"448.51 per 100,000 "
Rwanda,106,0,129849,1459,"1,002.52 per 100,000 "
Saint Vincent and the Grenadines,100,0,8439,106,"7,606.33 per 100,000 "
Angola,93,0,99287,1900,"302.09 per 100,000 "
Guinea,90,2,36549,442,"278.30 per 100,000 "
Cabo Verde,86,0,56056,401,"10,082.23 per 100,000 "
Algeria,77,1,265791,6875,"606.12 per 100,000 "
Senegal,65,1,86012,1966,"513.69 per 100,000 "
Chad,63,1,7412,193,"45.12 per 100,000 "
Tanzania,57,3,33872,803,"56.70 per 100,000 "
Togo,45,1,37000,273,"446.93 per 100,000 "
Timor-Leste,42,0,22884,130,"1,735.68 per 100,000 "
Guinea-Bissau,41,1,8213,171,"417.33 per 100,000 "
Djibouti,38,0,15631,189,"1,582.08 per 100,000 "
Liberia,34,0,7434,294,"146.98 per 100,000 "
Saint Kitts and Nevis,31,0,5583,43,"10,495.94 per 100,000 "
Kyrgyzstan,24,0,200993,2991,"3,080.73 per 100,000 "
Kiribati,20,0,3089,13,"2,626.57 per 100,000 "
Sao Tome and Principe,16,0,5964,73,"2,721.29 per 100,000 "
Gabon,14,1,47602,304,"2,138.72 per 100,000 "
Somalia,14,0,26485,1361,"166.64 per 100,000 "
Comoros,10,0,8107,160,"932.27 per 100,000 "
Marshall Islands,10,0,17,0,"29.10 per 100,000 "
Mauritania,9,0,58719,982,"1,262.87 per 100,000 "
Eritrea,8,0,9737,103,"274.56 per 100,000 "
Burkina Faso,7,1,20865,383,"99.82 per 100,000 "
Sierra Leone,7,0,7682,125,"96.30 per 100,000 "
Yemen,7,3,11819,2149,"39.63 per 100,000 "
Micronesia,6,0,7,0,"6.15 per 100,000 "
Gambia,5,0,11995,365,"496.35 per 100,000 "
Antarctica,0,0,11,0," per 100,000 "
Benin,0,0,26952,163,"222.32 per 100,000 "
Cameroon,0,0,119780,1927,"451.22 per 100,000 "
